Name,QL (Quantification limit),INF Max concentration - 100,INF Concentration - 95,INF Concentration - 90,INF Concentration - 75,INF Median concentration - 50,EFF Max concentration - 100,EFF Concentration - 95,EFF Concentration - 90,EFF Concentration - 75,EFF Median concentration - 50
Zinc,5,815.8,332.7,270.7,213.4,154.2,295,86.5,70.1,55,38.5
Cuivre,5,383,128.7,104.6,79.1,52.1,347.5,15.8,9.5,5.2,<LQ
AMPA,0.1,34.7,6.7,4.8,2.8,1.8,27.6,9.5,7.1,4.3,2.4
Chrome total,5,199.3,21.7,12.4,8.1,<LQ,98.6,8.5,6.9,<LQ,<LQ
Nickel,5,90.7,15.5,10.5,6.5,<LQ,70.3,8.2,6,<LQ,<LQ
Plomb,2,167.2,18.8,14,8.5,5.5,16.4,2.6,<LQ,<LQ,<LQ
Glyphosate,0.1,23.8,3.9,2.4,1.5,0.9,11.4,2.2,1.6,0.9,0.5
DEHP,1,273.1,59,43.7,24.1,10.7,14.6,1.9,1.3,<LQ,<LQ
Chloroforme,1,61.1,4,3,1.9,1.1,40.6,1.3,<LQ,<LQ,<LQ
Toluene,1,123,8.7,6,2.7,1.3,21.7,1,<LQ,<LQ,<LQ
